num_samples	method	max_sites	max_kb	time_taken_sec
25000	tskit	100	500	61.34312686200002
25000	tskit	100	500	83.92165902600027
50000	plink	10	200	15.843241092000028
50000	tskit	10	200	30.867125121000015
50000	plink	10	500	16.036141421005595
50000	tskit	10	500	30.40019799998845
50000	plink	50	200	28.139788312000007
50000	tskit	50	200	63.54475072600002
50000	plink	50	500	35.58297624399984
50000	tskit	50	500	79.65052597699923
50000	plink	75	200	22.46064927900011
50000	tskit	75	200	83.257047887
50000	plink	75	500	32.006496956000035
50000	plink	75	500	44.81273870399991
50000	tskit	75	500	106.05977421600005
50000	tskit	75	500	79.87109808600002
50000	plink	100	200	39.20421611500001
50000	tskit	100	200	105.51238058799993
50000	plink	100	500	31.761310121999998
50000	plink	100	500	46.04354663199956
50000	tskit	100	500	107.74752832299998
50000	tskit	100	500	131.35906092599907
75000	plink	10	200	28.92675940400005
75000	tskit	10	200	47.526882375000014
75000	plink	10	500	25.390301314
75000	tskit	10	500	41.88302219399998
75000	plink	50	200	46.99112187200001
75000	tskit	50	200	88.83467190199997
75000	plink	50	500	46.123719685000026
75000	tskit	50	500	86.868102749
75000	plink	75	200	38.608222923000085
75000	tskit	75	200	114.23720404400001
75000	plink	75	500	58.23806605499999
75000	plink	75	500	79.07235727999978
75000	tskit	75	500	116.816944525
75000	tskit	75	500	141.86918669499937
75000	plink	100	200	68.36005264899995
75000	tskit	100	200	140.669649091
75000	plink	100	500	169.19428470400004
75000	plink	100	500	79.61975600100004
75000	tskit	100	500	144.053275553
75000	tskit	100	500	189.77132888999995
100000	plink	10	200	41.43283261600004
100000	tskit	10	200	62.70811951000002
100000	plink	10	500	39.61766230999996
100000	tskit	10	500	56.96924440999999
100000	plink	50	200	75.41204631300002
100000	tskit	50	200	112.826151896
100000	plink	50	500	63.17120745699998
100000	tskit	50	500	103.82584416600002
100000	plink	75	200	56.216899098
100000	tskit	75	200	143.68426485999998
100000	plink	75	500	115.97819515399988
100000	plink	75	500	90.81495412999999
100000	tskit	75	500	144.770166023
100000	tskit	75	500	192.55229459299971
100000	plink	100	200	116.36738587399998
100000	tskit	100	200	191.671948036
100000	plink	100	500	101.19582904999999
100000	plink	100	500	107.12440667802002
100000	plink	100	500	114.94703431200014
100000	tskit	100	500	177.06850316500004
100000	tskit	100	500	196.11327500699554
100000	tskit	100	500	236.32305932100007
250000	tskit	10	200	310.92524398094974
250000	plink	10	200	171.7168883049162
250000	tskit	100	200	693.0592877300223
250000	plink	100	200	259.75024338799994
250000	tskit	50	200	490.5330582400784
250000	plink	50	200	187.399443487986
250000	tskit	75	200	410.74049190000005
250000	plink	75	200	283.5325500470003
250000	tskit	10	500	307.7345917089842
250000	plink	10	500	80.13542592304293
250000	tskit	100	500	415.373278763
250000	plink	100	500	327.25023211100006
250000	tskit	50	500	529.423353488
250000	plink	50	500	327.2118777090001
250000	tskit	75	500	631.8551892769999
250000	plink	75	500	293.7768048140001
